JSM,ENDERECO,BAIRRO,CEP,TELEFONE,MUNICIPIO_JSM,UF_JSM
"28/175 - DOM ELISEU","Rua ceará nº  642 (Prédio da Assistência Social)","Centro","68633000","(91)981368301","DOM ELISEU","PA"
"28/176 - CANAA DOS CARAJAS","RUA TANCREDO NEVES, 527","CENTRO",,,"CANAA DOS CARAJAS","PA"
"28/177 - BURITI DO TOCANTINS","RUA NOVO HORIZONTE, 02","CENTRO","77995000","34591255","BURITI DO TOCANTINS","TO"
"28/178 - MAURILANDIA DO TOCANTINS","RUA JOÃO BATALHA, 100","CENTRO","77918000","33801108","MAURILANDIA DO TOCANTINS","TO"
"29/11 - BORBA","COSTANTINO  NERY, S/N","CENTRO","69200000","(92) 99495-3605","BORBA","AM"
"29/36 - MARAA","Av Castelo Branco, 110","CENTRO",,,"MARAA","AM"
"29/39 - NOVA OLINDA DO NORTE","RUA TRIUNFO Nº 711","CENTRO",,"(92)992952947","NOVA OLINDA DO NORTE","AM"
"29/54 - URUCARA","RUA CRISPIM LOBO, 138","CENTRO","69130000","92 991233637","URUCARA","AM"
"29/89 - ALTO ALEGRE","AV GETÚLIO VARGAS, N° 67","CENTRO","69350000","32631163","ALTO ALEGRE","RR"
"29/90 - SAO JOAO DA BALIZA","PREFEITURA MUNICIPAL",,"69375000","32351145","SAO JOAO DA BALIZA","RR"
"30/51 - LADARIO","RUA CUNHA COUTO 190","CENTRO",,"(67) 3232 5933","LADARIO","MS"
"30/52 - LUCIARA","AV. ARAGUAIA NR 07","CENTRO","78660000","35281189","LUCIARA","MT"
"30/76 - ROSARIO OESTE","RUA OTAVIO COSTA, S/NR","CENTRO",,"6533561209","ROSARIO OESTE","MT"
"30/105 - JUSCIMEIRA","RUA NR 210","CAJUS",,"(66) 34121381","JUSCIMEIRA","MT"
"30/138 - VERA","AV OTAWA    Nº1.651","ESPERANÇA",,"(66)3583-3100","VERA","MT"
"30/196 - JANGADA","RUA 3, NÚMERO 629","CENTRO (PROX CÂMARA VEREADORES)",,"6533441581","JANGADA","MT"
