NOME,SIGLA,LOGRADOURO,BAIRRO,CIDADE,UF,CEP
"Academia Militar das Agulhas Negras","AMAN","RODOVIA PRESIDENTE DUTRA, KM 306","CENTRO","Resende","RJ","27534970"
"Administração do Monumento Nacional aos Mortos da 2ª Guerra Mundial","AMNM  2ª GM","AV INF DOM HENRIQUE 75","GLORIA","Rio de Janeiro","RJ","20021140"
"Agência de Gestão e Inovação Tecnólogica","AGITEC",,,"Rio de Janeiro","RJ",
"Arquivo Histórico do Exército","AHEx","PRAÇA DUQUE DE CAXIAS, 25 - 6º ANDAR","CENTRO","Rio de Janeiro","RJ","20221260"
"Arsenal de Guerra de São Paulo","AGSP","RODOVIA MAL RONDON, KM 29","CENTRO","Barueri","SP","06442000"
"Arsenal de Guerra do Rio de Janeiro","AGR","RUA MONSENHOR MANOEL GOMES 563","CAJU","Rio de Janeiro","RJ","20931670"
"Arsenal de Guerra General Câmara","AGGC","RUA  GEN DANIEL  H. BALBÃO S/N","CENTRO","General Câmara","RS","95820000"
"Base Administrativa da Brigada de Infantaria Paraquedista","Ba Adm Bda Inf Pqdt",,,"Rio de Janeiro","RJ",
"Base Administrativa da Guarnição de Santa Maria","B Adm Gu SM","Av. Borges de Medeiros, 1515","Centro","Santa Maria","RS","97015090"
"Base Administrativa do Comando de Comunicações e Guerra Eletrônica","Ba Adm / Cmdo Com G Ex","RODOVIA DF 001 - KM 5","SETOR HABITACIONAL TAQUARI - LAGO NORTE","Brasília","DF","71559902"
"Base Administrativa do Comando de Operações Especiais","Ba Adm Cmdo Op Esp","Av. Salvador, s/nº","Jardim Guanabara I","Goiânia","GO","74675710"
"Base Administrativa do Curado","B Adm Curado",,,"Recife","PE",
"Base Administrativa do Quartel-General do Exército","Ba Adm QGEx",,,"Brasília","DF",
"Base de Administração e Apoio da 1ª Região Militar","Ba Adm Ap / 1ª RM",,,"Rio de Janeiro","RJ",
"Base de Administração e Apoio da 3ª Região Militar","Ba Adm Ap / 3ª RM","RUA SETE DE SETEMBRO, 310","CENTRO","Porto Alegre","RS","90010190"
"Base de Administração e Apoio da 5ª Divisão de Exército","Ba Adm Ap 5ª DE","RUA 31 DE MARÇO S/N","PINHEIRINHO","Curitiba","PR","81150280"
"Base de Administração e Apoio do Comando Militar do Norte","Ba Adm Ap / CMN",,,"Belém","PA",
"Base de Administração e Apoio do Comando Militar do Oeste","Ba Adm Ap / CMO",,,"Campo Grande","MS",
